sedametro,sedametroname,avg_test_all,avg_test_ecd,avg_test_nec,metro_or_micro,perurban,perell,perspeced,pernam,perasn,perhsp,perblk,perwht,perecd,totenrl,perbaplus,perunemp,perpoverty
11420,"Angola, IN",0.13856369,-0.108532773,0.361673476,Micro,0,2.8807192,14.966323,0.41820017,0.76946682,7.1911387,0.48263195,91.138565,46.829914,1843.1,19.520306,5.5669203,11.55686
11460,"Ann Arbor, MI",0.240990611,-0.458205948,0.572523584,Metro,37.004574,4.1893048,13.275393,0.41811344,7.7594919,5.6394768,19.373037,66.809883,31.714985,20681.5,52.561874,6.1418633,14.425449
11500,"Anniston-Oxford-Jacksonville, AL",-0.177598244,-0.402025497,0.204123133,Metro,32.43972,1.5357546,8.9343433,0.2420944,0.69912827,4.4294963,26.375341,68.253937,62.560074,8435.7,17.745176,9.364399,18.048168
11540,"Appleton, WI",0.211015976,-0.229791362,0.398882607,Metro,35.278851,4.0212197,13.172856,1.4147458,5.4770956,6.2450366,2.4874701,84.375648,30.038568,16170.8,26.948946,4.0381193,7.6877723
11580,"Arcadia, FL",-0.274985749,-0.348792586,0.012899455,Micro,0,10.101993,14.600226,0.17721821,0.56576782,43.424839,12.345677,43.4865,78.001312,2209.3,10.507885,6.9917226,24.251307
11620,"Ardmore, OK",-0.139850579,-0.328093277,0.225751875,Micro,0,2.9170263,14.5047,18.725559,1.2539772,9.2697897,8.3570604,62.393612,65.054214,3987.8,18.64546,4.6005654,16.480396
11660,"Arkadelphia, AR",-0.144556087,-0.394245876,0.321527958,Micro,0,4.1039119,10.841875,0.41300392,0.92122525,10.748736,30.390137,57.526897,63.852249,1366.1,24.316175,6.1194792,22.703844
11680,"Arkansas City-Winfield, KS",0.041783466,-0.134097738,0.329006184,Micro,0,7.20609,20.734772,3.6203389,2.1451581,17.367731,2.9244187,73.942352,61.308662,2617.9,18.360428,7.6496878,19.196424
11700,"Asheville, NC",0.216097592,-0.091593596,0.575998127,Metro,21.779024,6.1085501,13.893384,0.3744562,1.2187619,13.83497,7.2162228,77.355591,54.10849,25376.5,31.124413,5.0807343,12.868719
11740,"Ashland, OH",0.169557063,-0.077290484,0.353198151,Micro,0,0.37750635,14.686422,0.059770837,0.43666959,1.3025334,0.6275413,97.573486,42.778351,3521.6,19.087019,5.4900775,14.259797
11780,"Ashtabula, OH",0.004540185,-0.184096519,0.303401663,Micro,0,2.0350029,17.555319,0.09974049,0.37606758,6.318058,3.1609726,90.045158,61.142094,6646.1,13.563342,8.1661749,18.164167
11820,"Astoria, OR",-0.164113402,-0.36596729,0.091591119,Micro,0,5.3235602,17.101597,1.2157677,1.5574355,16.05401,0.47099978,80.70179,54.990429,2296.8,23.320927,6.0347276,11.649247
11860,"Atchison, KS",-0.086096319,-0.254719842,0.191599476,Micro,0,0.26946384,21.338522,0.42040721,0.73364663,4.0872684,10.373631,84.385048,61.583107,992.8,22.146751,6.2674456,15.066497
11900,"Athens, OH",-0.008327811,-0.298881006,0.362092932,Micro,0,0.87404865,18.942675,0.078329243,1.9512469,1.2004883,1.6145729,95.155365,55.713589,3442.9,27.447149,9.531146,31.252136
11940,"Athens, TN",-0.107864198,-0.332321972,0.198320821,Micro,0,1.0271522,11.747348,0.23433094,0.76276135,5.0630536,5.9427567,87.997093,57.524712,3645.8,15.064846,7.7178998,18.658785
11980,"Athens, TX",-0.029253276,-0.186323721,0.240999321,Micro,0,7.7651272,10.129686,0.42423996,0.50241184,21.868765,8.817153,68.387428,63.544376,4915.7,16.357971,6.5486851,17.338781
12020,"Athens-Clarke County, GA",0.0126608,-0.343195639,0.613358963,Metro,39.768593,6.0996928,12.728375,0.09882576,2.5969296,15.336262,29.040272,52.927715,61.612904,12066.6,36.036217,6.697957,23.872099
